Gene	Cytoband	(A) FLT3 mutation	(B) FLT3 non mutation	(A) FLT3 mutation	(B) FLT3 non mutation	Log Ratio	p-Value	q-Value	Higher expression in
ERMP1	9p24.1	4.66	4.39	0.71	0.66	0.27	0.0241	0.110	(A) FLT3 mutation
APOBEC3F	22q13.1	2.64	2.84	0.50	0.55	-0.20	0.0241	0.110	(B) FLT3 non mutation
MRPL41	9q34.3	4.24	3.95	0.73	0.77	0.29	0.0242	0.110	(A) FLT3 mutation
TAX1BP1	7p15.2	5.28	5.07	0.50	0.57	0.20	0.0242	0.110	(A) FLT3 mutation
ABCC6P2	16p13.11	0.01	0.04	0.04	0.14	-0.03	0.0242	0.110	(B) FLT3 non mutation
TM6SF1	15q25.2	1.89	2.29	1.02	1.09	-0.41	0.0242	0.110	(B) FLT3 non mutation
SAGE1	Xq26.3	0.83	0.37	1.27	0.98	0.47	0.0242	0.110	(A) FLT3 mutation
VPS37D	7q11.23	0.15	0.20	0.10	0.16	-0.05	0.0243	0.110	(B) FLT3 non mutation
FKBP14	7p14.3	1.52	1.88	0.99	0.78	-0.37	0.0243	0.110	(B) FLT3 non mutation
HM13	20q11.21	5.18	5.09	0.20	0.29	0.09	0.0243	0.111	(A) FLT3 mutation
ZBED2	3q13.13	2.15	1.69	1.16	1.23	0.46	0.0243	0.111	(A) FLT3 mutation
FTSJ1	Xp11.23	4.08	3.97	0.27	0.31	0.11	0.0243	0.111	(A) FLT3 mutation
ITPKB	1q42.12	3.69	3.87	0.48	0.46	-0.19	0.0243	0.111	(B) FLT3 non mutation
WDFY3-AS2	4q21.23	0.07	0.12	0.12	0.17	-0.05	0.0244	0.111	(B) FLT3 non mutation
CNKSR3	6q25.2	1.22	1.50	0.61	0.94	-0.28	0.0244	0.111	(B) FLT3 non mutation
UEVLD	11p15.1	2.69	2.50	0.47	0.54	0.19	0.0244	0.111	(A) FLT3 mutation
SNX30	9q32	2.94	3.17	0.58	0.57	-0.22	0.0244	0.111	(B) FLT3 non mutation
ARSK	5q15	1.63	1.47	0.41	0.39	0.16	0.0244	0.111	(A) FLT3 mutation
MACROH2A1	5q31.1	7.12	6.91	0.54	0.60	0.22	0.0244	0.111	(A) FLT3 mutation
TRA2A	7p15.3	5.26	5.11	0.37	0.46	0.15	0.0245	0.111	(A) FLT3 mutation
CDH15	16q24.3	0.03	0.05	0.05	0.09	-0.03	0.0245	0.111	(B) FLT3 non mutation
SNX11	17q21.32	3.88	3.71	0.42	0.46	0.17	0.0245	0.111	(A) FLT3 mutation
CDKN1A	6p21.2	4.51	3.94	1.53	1.31	0.57	0.0246	0.111	(A) FLT3 mutation
CXCR3	Xq13.1	1.19	1.49	0.72	0.83	-0.29	0.0246	0.111	(B) FLT3 non mutation
TRPV6	7q34	0.56	0.40	0.42	0.42	0.16	0.0246	0.111	(A) FLT3 mutation
SLC4A8	12q13.13	0.99	1.16	0.45	0.43	-0.17	0.0246	0.111	(B) FLT3 non mutation
HSP90AA1	14q32.31	7.77	7.58	0.46	0.59	0.19	0.0246	0.112	(A) FLT3 mutation
CHFR	12q24.33	4.42	4.26	0.40	0.52	0.17	0.0247	0.112	(A) FLT3 mutation
MBD1	18q21.1	4.36	4.24	0.29	0.34	0.12	0.0247	0.112	(A) FLT3 mutation
TCN1	11q12.1	1.00	1.46	1.08	1.45	-0.46	0.0247	0.112	(B) FLT3 non mutation
PLEKHG1	6q25.1	0.60	0.86	0.65	0.74	-0.26	0.0247	0.112	(B) FLT3 non mutation
LINC02904	8q24.3	0.32	0.51	0.43	0.60	-0.19	0.0247	0.112	(B) FLT3 non mutation
NUP210L	1q21.3	0.49	0.57	0.18	0.28	-0.08	0.0248	0.112	(B) FLT3 non mutation
CCR3	3p21.31	0.25	0.38	0.28	0.44	-0.13	0.0248	0.112	(B) FLT3 non mutation
UBA3	3p14.1	5.76	5.63	0.34	0.36	0.13	0.0248	0.112	(A) FLT3 mutation
LINC01278	Xq11.1	3.93	3.75	0.44	0.49	0.18	0.0248	0.112	(A) FLT3 mutation
TTBK1	6p21.1	0.01	0.01	0.01	0.04	-0.01	0.0248	0.112	(B) FLT3 non mutation
ANTXRL	10q11.22	0.17	0.08	0.24	0.14	0.09	0.0248	0.112	(A) FLT3 mutation
DNM3	1q24.3	0.63	0.82	0.42	0.67	-0.19	0.0248	0.112	(B) FLT3 non mutation
ARX	Xp21.3	0.02	0.03	0.03	0.04	-0.01	0.0248	0.112	(B) FLT3 non mutation
MGST1	12p12.3	6.52	6.04	0.93	1.87	0.49	0.0249	0.112	(A) FLT3 mutation
TOPAZ1	3p21.31	0.00	0.00	0.00	0.01	-0.00	0.0249	0.112	(B) FLT3 non mutation
SLC25A12	2q31.1	3.57	3.43	0.38	0.33	0.14	0.0249	0.112	(A) FLT3 mutation
PGC	6p21.1	0.11	0.19	0.13	0.33	-0.08	0.0249	0.112	(B) FLT3 non mutation
C1ORF105	1q24.3	0.12	0.19	0.15	0.26	-0.07	0.0249	0.112	(B) FLT3 non mutation
ZNF608	5q23.2	1.42	1.87	1.15	1.18	-0.45	0.0249	0.112	(B) FLT3 non mutation
ROGDI	16p13.3	3.77	3.41	0.80	1.22	0.36	0.0249	0.112	(A) FLT3 mutation
HHLA2	3q13.13	0.45	0.64	0.36	0.69	-0.18	0.0249	0.112	(B) FLT3 non mutation
DENND1A	9q33.3	4.00	3.81	0.44	0.54	0.18	0.0249	0.112	(A) FLT3 mutation
ELP6	3p21.31	3.44	3.30	0.39	0.36	0.15	0.0250	0.112	(A) FLT3 mutation
IL1RL2	2q12.1	0.06	0.03	0.11	0.05	0.04	0.0250	0.112	(A) FLT3 mutation
PEDS1	20q13.13	4.47	4.32	0.36	0.39	0.14	0.0250	0.112	(A) FLT3 mutation
NBAS	2p24.3	3.81	4.02	0.48	0.65	-0.21	0.0250	0.112	(B) FLT3 non mutation
COL17A1	10q25.1	0.21	0.30	0.19	0.36	-0.10	0.0250	0.112	(B) FLT3 non mutation
VEGFD	Xp22.2	0.02	0.05	0.04	0.13	-0.03	0.0250	0.112	(B) FLT3 non mutation
SNORD12B	19p13.2	4.86	4.57	0.74	0.81	0.29	0.0250	0.112	(A) FLT3 mutation
S1PR1	1p21.2	1.93	2.28	0.92	0.93	-0.36	0.0250	0.112	(B) FLT3 non mutation
TPST1	7q11.21	1.05	1.42	0.94	1.03	-0.37	0.0250	0.112	(B) FLT3 non mutation
OR10G2	14q11.2	0.02	0.04	0.04	0.07	-0.02	0.0250	0.112	(B) FLT3 non mutation
MEST	7q32.2	4.11	4.81	1.82	1.74	-0.70	0.0251	0.113	(B) FLT3 non mutation
B3GALNT2	1q42.3	2.61	2.41	0.53	0.52	0.20	0.0251	0.113	(A) FLT3 mutation
PLEKHG6	12p13.31	1.22	1.41	0.47	0.56	-0.19	0.0251	0.113	(B) FLT3 non mutation
H2BC21	1q21.2	5.34	4.88	1.21	1.11	0.46	0.0251	0.113	(A) FLT3 mutation
NUP42	7p15.3	4.12	3.95	0.43	0.45	0.17	0.0251	0.113	(A) FLT3 mutation
SLC6A17	1p13.3	0.01	0.01	0.01	0.02	-0.01	0.0252	0.113	(B) FLT3 non mutation
TPTE	21p11.2	0.01	0.02	0.01	0.06	-0.01	0.0252	0.113	(B) FLT3 non mutation
TM4SF4	3q25.1	0.00	0.02	0.01	0.07	-0.01	0.0252	0.113	(B) FLT3 non mutation
COG5	7q22.3	4.12	3.96	0.42	0.45	0.17	0.0252	0.113	(A) FLT3 mutation
RCCD1	15q26.1	3.37	3.18	0.50	0.47	0.19	0.0252	0.113	(A) FLT3 mutation
KRTAP10-11	21q22.3	0.00	0.01	0.01	0.06	-0.01	0.0252	0.113	(B) FLT3 non mutation
STON1-GTF2A1L	2p16.3	0.98	0.63	1.00	0.56	0.35	0.0252	0.113	(A) FLT3 mutation
REP15	12p11.22	0.73	0.55	0.49	0.41	0.18	0.0252	0.113	(A) FLT3 mutation
NSMCE1	16p12.1	4.47	4.35	0.30	0.38	0.12	0.0252	0.113	(A) FLT3 mutation
CD1A	1q23.1	0.20	0.33	0.30	0.42	-0.13	0.0252	0.113	(B) FLT3 non mutation
MTMR6	13q12.13	3.24	3.40	0.38	0.47	-0.16	0.0253	0.113	(B) FLT3 non mutation
AURKAP1	1q41	1.74	1.91	0.41	0.48	-0.17	0.0253	0.113	(B) FLT3 non mutation
RLF	1p34.2	3.51	3.66	0.35	0.40	-0.14	0.0253	0.113	(B) FLT3 non mutation
BCAS4	20q13.13	1.07	1.35	0.73	0.72	-0.28	0.0253	0.113	(B) FLT3 non mutation
GAL3ST2	2q37.3	0.46	0.29	0.49	0.32	0.17	0.0254	0.113	(A) FLT3 mutation
PRDX6	1q25.1	6.62	6.48	0.37	0.36	0.14	0.0254	0.113	(A) FLT3 mutation
LYRM2	6q15	2.60	2.48	0.32	0.29	0.12	0.0254	0.113	(A) FLT3 mutation
MYBPC2	19q13.33	0.08	0.14	0.12	0.23	-0.06	0.0254	0.113	(B) FLT3 non mutation
TGFBI	5q31.1	1.79	2.44	1.65	1.80	-0.65	0.0254	0.113	(B) FLT3 non mutation
FLNB	3p14.3	3.62	4.14	1.33	1.41	-0.52	0.0254	0.113	(B) FLT3 non mutation
ASNS	7q21.3	3.73	3.42	0.81	0.87	0.32	0.0254	0.113	(A) FLT3 mutation
ARMCX6	Xq22.1	2.49	2.38	0.24	0.36	0.11	0.0254	0.113	(A) FLT3 mutation
TANK	2q24.2	4.97	4.79	0.47	0.47	0.18	0.0254	0.113	(A) FLT3 mutation
MIR100HG	11q24.1	0.27	0.61	0.67	1.32	-0.34	0.0255	0.114	(B) FLT3 non mutation
SLFN12	17q12	2.80	2.51	0.75	0.82	0.30	0.0255	0.114	(A) FLT3 mutation
STON1	2p16.3	1.25	0.85	1.15	0.64	0.40	0.0255	0.114	(A) FLT3 mutation
C7ORF50	7p22.3	2.72	2.49	0.57	0.65	0.23	0.0255	0.114	(A) FLT3 mutation
XDH	2p23.1	0.01	0.05	0.02	0.16	-0.03	0.0255	0.114	(B) FLT3 non mutation
MMP1	11q22.2	0.00	0.03	0.02	0.13	-0.03	0.0255	0.114	(B) FLT3 non mutation
CCDC96	4p16.1	0.60	0.71	0.29	0.34	-0.12	0.0255	0.114	(B) FLT3 non mutation
ZNF641	12q13.11	3.07	2.84	0.60	0.59	0.23	0.0255	0.114	(A) FLT3 mutation
PITPNC1	17q24.2	2.97	3.25	0.74	0.69	-0.28	0.0256	0.114	(B) FLT3 non mutation
SMTNL1	11q12.1	1.95	2.19	0.56	0.75	-0.24	0.0256	0.114	(B) FLT3 non mutation
SHOC1	9q31.3	0.89	1.07	0.41	0.58	-0.18	0.0256	0.114	(B) FLT3 non mutation
HSD17B12	11p11.2	4.88	4.68	0.52	0.53	0.20	0.0256	0.114	(A) FLT3 mutation
CLDN9	16p13.3	0.94	1.26	0.80	0.89	-0.32	0.0256	0.114	(B) FLT3 non mutation
VPS53	17p13.3	3.50	3.37	0.29	0.42	0.13	0.0257	0.114	(A) FLT3 mutation
TRIM38	6p22.2	5.11	4.92	0.47	0.55	0.19	0.0257	0.114	(A) FLT3 mutation
TMEM200A	6q23.1	0.16	0.27	0.19	0.49	-0.12	0.0257	0.114	(B) FLT3 non mutation
KRT77	12q13.13	0.00	0.01	0.00	0.05	-0.01	0.0257	0.114	(B) FLT3 non mutation
PDZK1IP1	1p33	0.72	1.03	0.72	1.03	-0.31	0.0257	0.114	(B) FLT3 non mutation
CNTN6	3p26.3	0.00	0.00	0.00	0.01	-0.00	0.0257	0.114	(B) FLT3 non mutation
LRRC20	10q22.1	2.08	1.85	0.57	0.71	0.24	0.0257	0.114	(A) FLT3 mutation
DCTN6	8p12	4.36	4.49	0.31	0.40	-0.13	0.0257	0.114	(B) FLT3 non mutation
C2ORF68	2p11.2	3.91	3.80	0.29	0.30	0.11	0.0257	0.114	(A) FLT3 mutation
EIF4G1	3q27.1	6.11	5.98	0.31	0.39	0.13	0.0257	0.114	(A) FLT3 mutation
TLL2	10q24.1	0.10	0.21	0.18	0.48	-0.11	0.0258	0.114	(B) FLT3 non mutation
CIDEA	18p11.21	0.01	0.02	0.02	0.07	-0.02	0.0258	0.114	(B) FLT3 non mutation
SLC25A37	8p21.2	4.79	5.08	0.64	0.96	-0.28	0.0258	0.114	(B) FLT3 non mutation
MYH6	14q11.2	0.00	0.01	0.01	0.02	-0.01	0.0258	0.114	(B) FLT3 non mutation
TRIM4	7q22.1	3.80	3.63	0.45	0.37	0.17	0.0258	0.114	(A) FLT3 mutation
MPND	19p13.3	3.19	3.42	0.60	0.58	-0.23	0.0258	0.114	(B) FLT3 non mutation
CALHM1	10q24.33	0.13	0.18	0.09	0.14	-0.04	0.0259	0.115	(B) FLT3 non mutation
H2BC4	6p22.2	2.60	2.16	1.21	1.00	0.45	0.0259	0.115	(A) FLT3 mutation
DNAAF5	7p22.3	2.79	2.63	0.42	0.43	0.16	0.0259	0.115	(A) FLT3 mutation
CPD	17q11.2	4.76	4.46	0.73	0.83	0.29	0.0259	0.115	(A) FLT3 mutation
IL1R1	2q11.2-q12.1	1.75	1.24	1.46	0.88	0.51	0.0259	0.115	(A) FLT3 mutation
S1PR2	19p13.2	0.64	0.78	0.36	0.40	-0.14	0.0259	0.115	(B) FLT3 non mutation
CORO1B	11q13.2	4.72	4.47	0.64	0.71	0.25	0.0259	0.115	(A) FLT3 mutation
FCRL3	1q23.1	1.15	1.45	0.77	0.81	-0.30	0.0259	0.115	(B) FLT3 non mutation
DLG4	17p13.1	3.75	3.53	0.48	0.76	0.22	0.0259	0.115	(A) FLT3 mutation
REEP5	5q22.2	4.12	4.43	0.81	0.76	-0.31	0.0260	0.115	(B) FLT3 non mutation
COL11A1	1p21.1	0.03	0.12	0.07	0.47	-0.10	0.0260	0.115	(B) FLT3 non mutation
PCDHA10	5q31.3	0.02	0.05	0.07	0.10	-0.03	0.0260	0.115	(B) FLT3 non mutation
MSX2P1	17q22	0.28	0.38	0.24	0.33	-0.10	0.0260	0.115	(B) FLT3 non mutation
E2F2	1p36.12	2.59	2.87	0.70	0.78	-0.28	0.0260	0.115	(B) FLT3 non mutation
NMRAL1	16p13.3	4.12	3.97	0.38	0.45	0.15	0.0260	0.115	(A) FLT3 mutation
INSYN1	15q24.1	0.01	0.03	0.03	0.05	-0.01	0.0260	0.115	(B) FLT3 non mutation
INTS14	15q22.31	4.24	4.12	0.31	0.33	0.12	0.0260	0.115	(A) FLT3 mutation
ARL6IP5	3p14.1	6.86	6.65	0.56	0.54	0.21	0.0260	0.115	(A) FLT3 mutation
PKP2	12p11.21	0.27	0.57	0.71	0.87	-0.29	0.0261	0.115	(B) FLT3 non mutation
C8ORF74	8p23.1	0.01	0.01	0.01	0.03	-0.01	0.0261	0.115	(B) FLT3 non mutation
DHX35	20q11.23-q12	3.13	3.02	0.28	0.27	0.11	0.0261	0.115	(A) FLT3 mutation
SEPTIN10	2q13	0.19	0.31	0.28	0.34	-0.11	0.0261	0.115	(B) FLT3 non mutation
ASAH2B	10q11.23	0.02	0.04	0.04	0.08	-0.02	0.0262	0.115	(B) FLT3 non mutation
SH2D1A	Xq25	2.94	2.37	1.49	1.46	0.57	0.0262	0.115	(A) FLT3 mutation
GPR31	6q27	0.01	0.02	0.02	0.07	-0.02	0.0262	0.115	(B) FLT3 non mutation
NUP37	12q23.2	3.93	3.77	0.44	0.43	0.17	0.0262	0.115	(A) FLT3 mutation
TGM4	3p21.31	0.22	0.28	0.14	0.20	-0.06	0.0262	0.115	(B) FLT3 non mutation
SMIM5	17q25.1	1.61	1.77	0.41	0.47	-0.16	0.0262	0.115	(B) FLT3 non mutation
H1-8	3q22.1	0.09	0.14	0.12	0.18	-0.05	0.0263	0.116	(B) FLT3 non mutation
FAM86JP	3q21.2	0.86	0.70	0.45	0.35	0.16	0.0263	0.116	(A) FLT3 mutation
SSUH2	3p25.3	0.02	0.03	0.02	0.03	-0.01	0.0263	0.116	(B) FLT3 non mutation
USP16	21q21	4.35	4.48	0.32	0.40	-0.13	0.0263	0.116	(B) FLT3 non mutation
RASGEF1C	5q35.3	0.06	0.10	0.06	0.20	-0.04	0.0263	0.116	(B) FLT3 non mutation
IGSF1	Xq25	0.05	0.17	0.23	0.49	-0.12	0.0263	0.116	(B) FLT3 non mutation
DLGAP1	18p11.31	0.16	0.11	0.16	0.13	0.06	0.0263	0.116	(A) FLT3 mutation
ABCG4	11q23.3	0.01	0.02	0.02	0.03	-0.01	0.0263	0.116	(B) FLT3 non mutation
AMDHD1	12q23.1	0.75	0.59	0.38	0.45	0.15	0.0264	0.116	(A) FLT3 mutation
GMFB	14q22.2	4.08	3.94	0.35	0.43	0.14	0.0264	0.116	(A) FLT3 mutation
KCNK1	1q42.2	0.08	0.25	0.21	0.77	-0.17	0.0264	0.116	(B) FLT3 non mutation
TJP2	9q21.11	2.09	2.40	0.77	0.93	-0.31	0.0264	0.116	(B) FLT3 non mutation
TCAIM	3p21.31	3.14	2.97	0.45	0.41	0.17	0.0264	0.116	(A) FLT3 mutation
RGS9	17q24.1	0.21	0.32	0.29	0.33	-0.12	0.0265	0.116	(B) FLT3 non mutation
UBE2C	20q13.12	3.36	3.74	1.04	0.86	-0.38	0.0265	0.116	(B) FLT3 non mutation
RP2	Xp11.3	4.43	4.22	0.52	0.60	0.21	0.0265	0.116	(A) FLT3 mutation
CNFN	19q13.2	0.38	0.56	0.39	0.59	-0.17	0.0265	0.116	(B) FLT3 non mutation
H2BC13	6p22.1	1.15	0.89	0.70	0.57	0.26	0.0265	0.116	(A) FLT3 mutation
AOC2	17q21.31	0.72	0.85	0.33	0.34	-0.13	0.0265	0.116	(B) FLT3 non mutation
NKX6-3	8p11.21	0.03	0.08	0.06	0.22	-0.05	0.0265	0.116	(B) FLT3 non mutation
S100A3	1q21.3	0.13	0.20	0.17	0.21	-0.07	0.0265	0.116	(B) FLT3 non mutation
HMX2	10q26.13	0.00	0.13	0.01	0.64	-0.13	0.0265	0.116	(B) FLT3 non mutation
SHISA2	13q12.13	0.06	0.12	0.12	0.23	-0.06	0.0265	0.116	(B) FLT3 non mutation
APC2	19p13.3	0.96	1.08	0.31	0.37	-0.12	0.0265	0.116	(B) FLT3 non mutation
PELO	5q11.2	2.00	1.83	0.44	0.43	0.17	0.0266	0.116	(A) FLT3 mutation
TMEM169	2q35	0.13	0.21	0.19	0.27	-0.08	0.0266	0.116	(B) FLT3 non mutation
GAL3ST1	22q12.2	0.12	0.22	0.19	0.34	-0.09	0.0266	0.116	(B) FLT3 non mutation
GJB5	1p34.3	0.13	0.19	0.11	0.25	-0.06	0.0266	0.116	(B) FLT3 non mutation
DHX33	17p13.2	3.54	3.33	0.57	0.45	0.21	0.0266	0.116	(A) FLT3 mutation
IKBIP	12q23.1	3.33	3.09	0.64	0.51	0.23	0.0266	0.116	(A) FLT3 mutation
GRM2	3p21.2	0.34	0.44	0.26	0.29	-0.10	0.0267	0.116	(B) FLT3 non mutation
GRK4	4p16.3	1.84	1.67	0.44	0.49	0.17	0.0267	0.116	(A) FLT3 mutation
FCGBP	19q13.2	0.20	0.36	0.33	0.60	-0.16	0.0267	0.117	(B) FLT3 non mutation
SNORA59A	1p36.21	1.03	1.17	0.35	0.43	-0.14	0.0267	0.117	(B) FLT3 non mutation
C16ORF74	16q24.1	3.46	3.12	0.78	1.13	0.34	0.0267	0.117	(A) FLT3 mutation
PROK2	3p13	3.89	3.28	1.49	1.93	0.62	0.0267	0.117	(A) FLT3 mutation
CAPS	19p13.3	3.39	3.14	0.67	0.66	0.25	0.0267	0.117	(A) FLT3 mutation
NPHP4	1p36.31	2.32	2.14	0.47	0.48	0.18	0.0268	0.117	(A) FLT3 mutation
SUCNR1	3q25.1	4.05	3.46	1.53	1.62	0.60	0.0268	0.117	(A) FLT3 mutation
TCTN2	12q24.31	2.57	2.37	0.55	0.53	0.21	0.0268	0.117	(A) FLT3 mutation
PCDHA5	5q31.3	0.02	0.05	0.07	0.08	-0.03	0.0268	0.117	(B) FLT3 non mutation
CXCR4	2q22.1	6.75	7.12	0.92	1.08	-0.37	0.0268	0.117	(B) FLT3 non mutation
ACAA1	3p22.2	5.23	5.05	0.45	0.50	0.18	0.0268	0.117	(A) FLT3 mutation
SMIM11		2.92	2.78	0.38	0.36	0.14	0.0269	0.117	(A) FLT3 mutation
HOXC5	12q13.13	0.01	0.05	0.01	0.22	-0.04	0.0269	0.117	(B) FLT3 non mutation
PEMT	17p11.2	3.54	3.32	0.55	0.66	0.22	0.0269	0.117	(A) FLT3 mutation
ZNF513	2p23.3	3.26	3.07	0.49	0.48	0.19	0.0269	0.117	(A) FLT3 mutation
CDC14C	7p12.3	0.00	0.00	0.00	0.01	-0.00	0.0269	0.117	(B) FLT3 non mutation
CASP1	11q22.3	4.99	4.61	0.95	1.06	0.38	0.0269	0.117	(A) FLT3 mutation
DISC2	1q42.1	0.97	1.11	0.32	0.49	-0.14	0.0270	0.117	(B) FLT3 non mutation
ZNF449	Xq26.3	1.22	1.12	0.24	0.33	0.10	0.0270	0.117	(A) FLT3 mutation
CALHM3	10q24.33	0.04	0.06	0.05	0.10	-0.02	0.0270	0.117	(B) FLT3 non mutation
CD1B	1q23.1	0.08	0.22	0.27	0.53	-0.14	0.0270	0.117	(B) FLT3 non mutation
OR2L8	1q44	0.28	0.42	0.29	0.50	-0.14	0.0270	0.117	(B) FLT3 non mutation
SLC38A4	12q13.11	0.43	0.58	0.33	0.56	-0.15	0.0270	0.117	(B) FLT3 non mutation
PCDHA11	5q31.3	0.02	0.04	0.05	0.06	-0.02	0.0270	0.117	(B) FLT3 non mutation
GTF2I	7q11.23	4.42	4.24	0.47	0.49	0.18	0.0271	0.117	(A) FLT3 mutation
SPATA33	16q24.3	1.41	1.28	0.35	0.32	0.13	0.0271	0.118	(A) FLT3 mutation
COLCA1	11q23.1	0.04	0.06	0.06	0.07	-0.02	0.0271	0.118	(B) FLT3 non mutation
SPATA2L	16q24.3	2.30	2.11	0.46	0.58	0.19	0.0271	0.118	(A) FLT3 mutation
CYP2A13	19q13.2	0.00	0.00	0.00	0.01	-0.00	0.0271	0.118	(B) FLT3 non mutation
HIF1A	14q23.2	5.48	5.69	0.51	0.60	-0.21	0.0271	0.118	(B) FLT3 non mutation
TMEM185B	2q14.2	3.97	3.80	0.46	0.41	0.17	0.0271	0.118	(A) FLT3 mutation
INPP1	2q32.2	2.85	2.68	0.43	0.52	0.17	0.0272	0.118	(A) FLT3 mutation
AFG3L1P	16q24.3	2.84	2.71	0.35	0.34	0.13	0.0272	0.118	(A) FLT3 mutation
RNF208	9q34.3	1.53	1.27	0.67	0.78	0.27	0.0272	0.118	(A) FLT3 mutation
STX4	16p11.2	4.61	4.48	0.32	0.34	0.12	0.0272	0.118	(A) FLT3 mutation
SNORA77	1q32.1	2.59	2.84	0.61	0.74	-0.25	0.0272	0.118	(B) FLT3 non mutation
KCNIP4-IT1	4p15.2	0.00	0.00	0.00	0.01	-0.00	0.0272	0.118	(B) FLT3 non mutation
LINC00452	13q34	0.01	0.03	0.02	0.09	-0.02	0.0272	0.118	(B) FLT3 non mutation
IGDCC4	15q22.31	0.12	0.26	0.25	0.58	-0.14	0.0272	0.118	(B) FLT3 non mutation
SDC4P	22q12.2	0.01	0.03	0.04	0.10	-0.02	0.0273	0.118	(B) FLT3 non mutation
SCART1	10q26.3	0.78	0.97	0.44	0.62	-0.19	0.0273	0.118	(B) FLT3 non mutation
LUC7L3	17q21.33	7.03	6.81	0.57	0.53	0.21	0.0273	0.118	(A) FLT3 mutation
SHISA3	4p13	0.06	0.10	0.07	0.12	-0.03	0.0273	0.118	(B) FLT3 non mutation
TAFA2	12q14.1	1.03	0.76	0.76	0.54	0.27	0.0273	0.118	(A) FLT3 mutation
KCTD15	19q13.11	2.21	2.58	0.97	0.98	-0.37	0.0273	0.118	(B) FLT3 non mutation
GOLGA1	9q33.3	3.66	3.56	0.26	0.32	0.11	0.0273	0.118	(A) FLT3 mutation
ALKAL2	2p25.3	0.23	0.35	0.20	0.52	-0.12	0.0274	0.118	(B) FLT3 non mutation
COL19A1	6q13	0.22	0.32	0.22	0.32	-0.10	0.0274	0.118	(B) FLT3 non mutation
EDC4	16q22.1	4.38	4.22	0.39	0.46	0.16	0.0274	0.118	(A) FLT3 mutation
PCDHA9	5q31.3	0.01	0.03	0.05	0.05	-0.02	0.0274	0.118	(B) FLT3 non mutation
NSUN7	4p14	0.25	0.44	0.41	0.62	-0.18	0.0274	0.118	(B) FLT3 non mutation
TMEM14B	6p24.2	3.91	4.06	0.35	0.46	-0.15	0.0275	0.119	(B) FLT3 non mutation
ZC3H10	12q13.2	2.56	2.43	0.33	0.39	0.13	0.0275	0.119	(A) FLT3 mutation
SERPIND1	22q11.21	1.33	1.48	0.38	0.42	-0.15	0.0275	0.119	(B) FLT3 non mutation
ALG2	9q22.33	3.60	3.46	0.38	0.34	0.14	0.0275	0.119	(A) FLT3 mutation
SOWAHB	4q21.1	0.00	0.01	0.01	0.02	-0.01	0.0275	0.119	(B) FLT3 non mutation
DNAJC2	7q22.1	3.95	3.78	0.43	0.47	0.17	0.0275	0.119	(A) FLT3 mutation
S100A13	1q21.3	2.45	2.25	0.51	0.55	0.20	0.0275	0.119	(A) FLT3 mutation
SLC19A2	1q24.2	1.95	2.16	0.49	0.65	-0.20	0.0275	0.119	(B) FLT3 non mutation
PIM2	Xp11.23	5.02	5.27	0.61	0.73	-0.25	0.0276	0.119	(B) FLT3 non mutation
DSC1	18q12.1	0.09	0.13	0.11	0.16	-0.05	0.0276	0.119	(B) FLT3 non mutation
HPCAL4	1p34.2	0.19	0.28	0.23	0.27	-0.09	0.0276	0.119	(B) FLT3 non mutation
SNHG10	14q32.13	2.51	2.27	0.63	0.58	0.24	0.0276	0.119	(A) FLT3 mutation
HIBCH	2q32.2	3.81	3.61	0.53	0.46	0.20	0.0276	0.119	(A) FLT3 mutation
CCT6P1	7q11.21	2.93	2.77	0.41	0.42	0.16	0.0276	0.119	(A) FLT3 mutation
DNAJC21	5p13.2	3.35	3.23	0.29	0.31	0.11	0.0277	0.119	(A) FLT3 mutation
UQCRC2	16p12.2	5.90	5.80	0.24	0.34	0.10	0.0277	0.119	(A) FLT3 mutation
C11ORF71	11q23.2	2.65	2.48	0.45	0.43	0.17	0.0277	0.119	(A) FLT3 mutation
GLYATL3	6p12.3	0.00	0.01	0.01	0.04	-0.01	0.0277	0.119	(B) FLT3 non mutation
TBX10	11q13.2	0.15	0.24	0.19	0.37	-0.09	0.0277	0.119	(B) FLT3 non mutation
LYRM7	5q23.3-q31.1	3.63	3.39	0.63	0.60	0.24	0.0277	0.119	(A) FLT3 mutation
GAS2L2	17q12	0.12	0.17	0.11	0.17	-0.05	0.0277	0.119	(B) FLT3 non mutation
CAPSL	5p13.2	0.03	0.07	0.06	0.17	-0.04	0.0277	0.119	(B) FLT3 non mutation
FAM83B	6p12.1	0.06	0.14	0.13	0.32	-0.08	0.0277	0.119	(B) FLT3 non mutation
MRPL22	5q33.2	2.56	2.45	0.26	0.37	0.11	0.0277	0.119	(A) FLT3 mutation
ABCA3	16p13.3	1.16	1.44	0.75	0.70	-0.28	0.0278	0.119	(B) FLT3 non mutation
GJC2	1q42.13	0.52	0.69	0.38	0.56	-0.17	0.0278	0.119	(B) FLT3 non mutation
C9ORF57	9q21.13	0.04	0.07	0.05	0.10	-0.03	0.0278	0.119	(B) FLT3 non mutation
NUTF2	16q22.1	4.75	4.63	0.29	0.39	0.12	0.0278	0.119	(A) FLT3 mutation
TIAM2	6q25.2-q25.3	2.15	2.24	0.22	0.32	-0.09	0.0278	0.119	(B) FLT3 non mutation
YOD1	1q32.1	2.91	3.14	0.56	0.71	-0.23	0.0278	0.119	(B) FLT3 non mutation
